"FIPS","State","County","Cancer","HeartDis","Injury","Homicide","Poor.Health","Diabetes","PhysicianShortage.Score","BroadBand.Score","Structural.Score","RaD.Score","Telehealth.Score.Raw","Score.adj","Telehealth.Score.Raw.Adj","Telehealth.Score.Final","CHSI.Score"
"13181","GA","Lincoln",9.01309485787288,7.25327371446822,NA,NA,6.87579617834395,9.48089171974522,5.62277580071174,1.29432624113475,NA,NA,39.5401585122768,14.2251395776421,53.7652980899189,57.3655742920776,16.2663685723411
"13183","GA","Long",5.92462472053657,7.94634302139891,NA,NA,6.18471337579618,3.13375796178344,9.33570581257414,10,NA,NA,42.5251448920892,15.180359055155,57.7055039472442,66.3060769965002,13.8709677419355
"13185","GA","Lowndes",6.97540721814117,7.33950814436282,9.06963788300836,NA,7.39171974522293,5.88853503184713,NA,10,6.95626477541371,3.73248407643312,57.3535568744292,10.4545018400593,67.8080587144885,84.8552338530067,23.3845532455124
"13187","GA","Lumpkin",4.51293516448419,4.48419035451932,NA,NA,5.44585987261146,3.13375796178344,NA,3.46099290780142,0.620567375886525,2.68789808917197,24.3462017262583,15.5857495430652,39.9319512693235,28.0623608017817,8.99712551900351
"13189","GA","McDuffie",4.91536250399233,6.97540721814117,6.72980501392758,NA,7.33757961783439,9.19108280254777,NA,4.73049645390071,6.95626477541371,5.23991507430998,52.0759134600676,14.6569441642955,66.7328576243631,83.2007636016545,18.6205747360611
"13191","GA","McIntosh",8.40945384861067,6.97540721814117,NA,NA,5.55414012738853,9.32165605095541,7.90035587188612,6.51418439716312,NA,NA,44.675197514145,14.9958118369266,59.6710093510716,70.1877187400573,15.3848610667518
"13193","GA","Macon",6.06834877036091,7.33950814436282,NA,NA,9.38535031847134,9.7484076433121,NA,4.1063829787234,0.620567375886525,NA,37.2685652311171,14.5642399623793,51.8328051934964,52.9748647788737,13.4078569147237
"13195","GA","Madison",5.92462472053657,7.33950814436282,8.06685236768802,NA,5.44585987261146,6.37261146496815,3.3926453143535,10,NA,NA,46.5421018845205,14.2347137041538,60.7768155886743,72.4467069678651,21.3309852325874
"13197","GA","Marion",3.03417438518045,7.94634302139891,NA,NA,8.12101910828025,9.34076433121019,NA,0.790780141843972,NA,NA,29.2330809879138,9.31348060259883,38.5465615905126,25.7079223671651,10.9805174065794
"13199","GA","Meriwether",5.92462472053657,8.87575854359629,1.24791086350975,NA,7.69426751592357,9.43949044585987,NA,0.950354609929078,NA,2.14012738853503,36.2725340878902,14.0837997431251,50.3563338310153,50.1113585746102,16.0482941276426
