,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006*,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014R,,,2015,,
,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International
May,390151.8317,233320.3723,156831.4594,391957.6322,220836.879,171120.7531,384765.0432,187385.8301,197379.2131,362777.2999,184972.0596,177805.2402,350341.5673,176787.4584,173554.1088,375640.6431,169949.4639,205691.1792,387715.3075,187085.1691,200630.1384,380859.1002,170260.6603,210598.4398,356711.9469,176039.3279,180672.619,342431.8234,185301.4149,157130.4085,374502.1625,203035.0675,171467.095,360930.04,202311,158619.04,352080.3465,208534.8461,143545.5005,294126.9739,193895.5485,100231.4254,348326.9236,206237.3938,142089.5298,363071.2745,211594.4268,151476.8477,359084.3733,217603.455,141480.9183,368863.8973,243164.3471,125699.5502,349619,216686,132933,325687.7739,216974.8096,108712.9643,343218.2237,208040.9764,135177.2473,344955.2094,216746.1193,128209.09,396694.1538,237751.9068,158942.247,410650.8261,239351.3003,171299.5258,414449.8682,234354.9821,180094.8861,447537.2188,250902.4326,196634.7862
Jun,475534.5797,284834.3116,190700.2681,447115.0463,243640.0888,203474.9575,433178.8245,214246.572,218932.2525,372663.2671,195857.2242,176806.0429,396776.5527,213048.0432,183728.5095,419989.3727,208242.2044,211747.1683,429883.9253,213982.9606,215900.9647,414092.9515,196688.0277,217404.9238,388100.2804,204546.0154,183554.265,392014.3795,214961.4255,177052.9541,426490.7038,244232.4329,182258.2708,408606.6133,234562,174044.6133,397609.3029,240595.555,157013.7478,344997.7383,234003.1804,110994.558,408533.0044,250822.4097,157710.5947,432179.5415,275124.5374,157055.0041,419853.1936,278343.314,141509.8796,420352.3709,281578.3282,138774.0427,362440,232328,130112,329898.6486,233752.1347,96146.51392,390284.2712,257133.0552,133151.216,372619.7499,235349.0454,137270.7046,427096.1626,251112.2242,175983.9384,449659.9986,263785.0937,185874.9049,466255.5237,267575.5018,198680.0219,484757.0926,284539.2793,200217.8133
Jul,511295.7824,295813.6296,215482.1528,481785.8037,254776.8957,227008.908,440045.6587,220664.2763,219381.3824,423477.1436,215763.6096,207713.534,425867.7789,219723.7699,206144.0091,463948.64,207728.5831,256220.0569,447746.3145,216857.9587,230888.3558,456421.6827,209719.1053,246702.5773,439223.3647,217894.4735,221328.8913,438001.0993,230916.1837,207084.9156,444112.0629,246995,197117.0629,438972.3175,247832,191140.3175,403059.5563,249500.3979,153559.1584,389351.6737,252763.368,136588.3057,442160.5253,280347.8316,161812.6938,474094.5351,306391.4644,167703.0707,455733.5802,305579.4437,150154.1365,444428.068,291298.5199,153129.548,391587,243254,148333,388762.7959,251954.0918,136808.7041,422471.287,270586.5315,151884.7555,407450.2132,253101.1825,154349.0306,459248.5372,264845.8649,194402.6722,486709.1613,283261.4569,203447.7044,496626.4762,281295.0332,215331.443,513577.1543,293506.5977,220070.5566
Aug,518281.1959,288513.9876,229767.2083,495543.4965,255161.1229,240382.3736,449905.6553,221419.4373,228486.218,424620.0366,207260.8778,217359.1588,451915.4989,214793.6568,237121.8421,475909.6522,208059.3813,267850.271,455185.0726,208905.3468,246279.7258,450403.3441,200930.24,249473.1041,418598.8676,203322.6368,215276.2309,427390.222,218681.0314,208709.1905,429434.3157,220111,209323.3157,441562.4844,233750,207812.4844,403481.7869,228967.2336,174514.5533,396663.3655,237980.2972,158683.0684,413102.8051,244120.6303,168982.1748,448990.823,279287.6302,169703.1929,434782.9638,271480.1073,163302.8565,462592.0944,288865.8306,173726.2638,379127,221578,157549,385429.1379,232651.1052,152778.0327,432162.0332,270642.4436,161519.5896,410956.3036,235690.0143,175266.2893,466004.3002,252948.7259,213055.5743,480529.5586,255028.1771,225501.3815,481794.5383,255006.6826,226787.8557,489422.8548,254465.3811,234957.4738
Sep,389497.1106,223858.7261,165638.3845,407802.6066,202753.5169,205049.0897,404887.5157,192200.0217,212687.494,349246.7012,165306.224,183940.4772,375036.1274,170227.3904,204808.7371,398003.5529,162476.5816,235526.9713,391892.7486,169919.006,221973.7425,405095.0623,161783.4744,243311.5879,371064.0682,165964.9136,205099.1545,381744.9087,182186.1964,199558.7123,371554.9525,188855,182699.9525,246722.5612,138309,108413.5612,318220.2177,161459.3863,156760.8314,318724.8793,169860.074,148864.8053,353996.2241,194503.4718,159492.7523,370166.7494,204830.9554,165335.794,359345.197,214767.6699,144577.5271,370882.7915,221802.4674,149080.3242,294147,165881,128266,327705.248,186263.075,141442.173,345324.0443,191728.7331,153595.3112,358582.5038,195175.4982,163407.0056,388307.3597,198379.8623,189927.4974,392513.7982,190980.7783,201533.0199,413046.289,202988.1458,210058.1432,413825.8935,204587.8881,209238.0054
Oct,392531.7223,234200.2163,158331.506,373013.9108,197581.7178,175432.193,378724.8112,210508.8278,168215.9835,342879.7638,186068.5024,156811.2614,354362.5135,177819.3297,176543.1838,381570.7411,187154.9504,194415.7908,382327.5096,167887.0763,214440.4333,386991.2791,180947.0676,206044.2114,351449.4356,182657.3791,168792.0565,377566.9861,213705.9492,163861.0369,377307.1384,199740,177567.1384,262078.3204,169031,93047.3204,345075.3779,186762.5486,158312.8292,337098.0122,186201.6623,150896.3498,371698.7137,205072.2636,166626.4501,379506.7824,217728.859,161777.9234,367584.0102,221790.0408,145793.9694,361004.3662,226072.4823,134931.884,316134,187142,128992,316157.7926,181900.7221,134257.0705,348921.6883,203437.6645,145484.0238,358394.4503,201961.5029,156432.9473,390490.0986,207482.7508,183007.3478,402225.1989,195389.6839,206835.515,422733.6988,215782.093,206951.6058,429361.1259,223753.352,205607.774
Nov,397592.3302,231982.7721,165609.5581,377872.7564,190717.5273,187155.2291,384863.5394,209039.5663,175823.9731,349498.6324,173728.0348,175770.5975,377394.1628,193195.4095,184198.7533,385376.197,178673.5451,206702.6519,372607.9309,165212.7976,207395.1333,376457.3647,169106.3985,207350.9662,355801.2961,173686.4793,182114.8167,365543.8578,183698.9369,181844.9209,361412.552,189935,171477.552,245643.7265,163174,82469.72651,331956.5596,180774.5085,151182.0511,324621.3246,177471.7213,147149.6034,345745.6792,194012.1672,151733.512,357899.0599,208258.1636,149640.8963,371446.6078,226865.8249,144580.7829,362248.0705,219462.5062,142785.5643,305206,185045,120161,302191.3407,171015.0285,131176.3121,342866.9548,205764.3297,137102.625,343277.8766,191199.0787,152078.7979,394273.7916,211634.6115,182639.1801,381627.2494,193966.1876,187661.0618,392912.4329,197811.5762,195100.8567,407376.1311,210174.5649,197201.5662
Dec,432320.488,210841.8746,221478.6134,427627.1539,200964.0477,226663.1063,407959.0651,190525.943,217433.1222,394027.4014,174964.5887,219062.8128,417591.1084,187321.0277,230270.0807,431156.0075,174642.7857,256513.2218,416628.9814,164923.7998,251705.1816,415944.125,172985.1651,242958.9598,395277.2507,189300.5662,205976.6845,365803.1673,191135.7114,174667.4559,400357.3413,203947,196410.3413,327784.5408,193527,134257.5408,393416.0565,198094.0629,195321.9936,393999.4239,214069.3898,179930.0341,403941.912,232838.4827,171103.4293,420994.4688,243723.5608,177270.908,426870.7818,265763.5567,161107.2251,414675.7195,254905.7504,159769.9691,345129,207616,137513,360695.0122,208524.8336,152170.1786,389674.6265,227902.9674,161771.6591,413949.9255,238307.6374,175642.2881,448217.1625,252636.1866,195580.9759,437809.4186,232224.2519,205585.1667,465081.4162,249587.8666,215493.5496,487823.5465,265849.6997,221973.8467
MAUI CTY,2284862.149,1815623.349,469238.7998,2175606.118,1692381.885,483224.2339,2323611.596,1754370.615,569240.9801,2263113.858,1693909.736,569204.1221,2340515.961,1808905.658,531610.3028,2326796.845,1762705.148,564091.6977,2318610.416,1732034.314,586576.1019,2330384.418,1788366.272,542018.1461,2304114.94,1776164.804,527950.1353,2347001.643,1866530.909,480470.7346,2304665.38,1834630.186,470035.1942,2104477.786,1685960,418517.7857,2139426.721,1770103.328,369323.3923,2196447.189,1900174.427,296272.7614,2207825.916,1937796.923,270028.9927,2346479.923,2080730.533,265749.3894,2498233.833,2198555.33,299678.5031,2522042.71,2224812.521,297230.1893,2129042,1850510,278532,1932357.144,1688448.334,243908.8098,2134901.856,1840330.129,294571.727,2211412.938,1868986.111,342426.8277,2353329.214,1952717.875,400611.3391,2401732.725,1958890.711,442842.0131,2456934.727,2011877.866,445056.8612,2579310.526,2115933.867,463376.6591
Jan,183786.6976,139620.3998,44166.29777,171325.0208,122867.9687,48457.05206,169790.4034,122270.5964,47519.80694,193906.6731,134752.9699,59153.70315,188980.898,127882.6574,61098.24062,186148.4725,138431.5148,47716.95776,191727.96,132564.1444,59163.81561,185006.1304,133687.7626,51318.36781,182710.6927,132828.4643,49882.2284,186078.8661,139723.3209,46355.54516,162374.9375,122335,40039.93751,184770.0215,130584,54186.02147,151838.0177,120844.0177,30994,175234.7644,138105.7924,37128.97195,171268.2113,141575.8105,29692.40079,178560.7734,152651.7791,25908.9943,199755.2888,166456.7388,33298.55,195264.6077,162683.2316,32581.37614,194482,164611,29871,158992.3311,129853.8047,29138.52641,162436.0207,130643.4953,31792.52539,179819.8457,145738.7392,34081.1065,194304.5093,149625.9782,44678.53102,203148.3537,154732.8854,48415.46827,204222.4666,154509.0141,49713.45251,216727.5581,162302.5964,54424.96166
