"","State_FIPS_Code","County_FIPS_Code","Premature.death.Value","Poor.or.fair.health.Value","Poor.physical.health.days.Value","Poor.mental.health.days.Value","Low.birthweight.Value","Adult.smoking.Value","Adult.obesity.Value","Food.environment.index.Value","Physical.inactivity.Value","Access.to.exercise.opportunities.Value","Excessive.drinking.Value","Alcohol.impaired.driving.deaths.Value","Sexually.transmitted.infections.Value","Teen.births.Value","Primary.care.physicians.Value","Mental.health.providers.Value","Preventable.hospital.stays.Value","Population.estimate.Value","Percent.of.population.below.18.years.of.age","Percent.of.population.aged.65.years.and.older","Percent.of.population.that.is.non.Hispanic.African.American","Percent.of.population.that.is.American.Indian.or.Alaskan.Native","Percent.of.population.that.is.Asian","Percent.of.population.that.is.Native.Hawaiian.or.Other.Pacific.Islander","Percent.of.population.that.is.Hispanic","Percent.of.population.that.is.non.Hispanic.White","Population.that.is.not.proficient.in.English.Value","Percent.of.population.that.is.female","Population.living.in.a.rural.area.Value","Diabetes.Value","Other.primary.care.providers.Value"
"792","18","165","7,699",0.157,3.7,3.8,0.09,0.196,0.309,7.1,0.312,0.499,0.154,0.4,"168.3",45.9,31,"45",90.89,"15,693",0.222,0.186,0.003,0.003,0.002,0,0.011,0.972,0,0.506,0.604,0.108,"70"
"793","18","167","8,870",0.186,4,4.2,0.08,0.241,0.329,6.2,0.301,0.743,0.155,0.209,"417.8",42.4,87,"155",79.05,"108,175",0.207,0.145,0.071,0.004,0.02,0,0.026,0.859,0.006,0.493,0.238,0.105,"85"
"794","18","169","8,345",0.159,3.7,3.9,0.08,0.192,0.312,7.7,0.355,0.572,0.149,0.237,"188.5",33.1,46,"192",50.68,"32,252",0.216,0.194,0.007,0.007,0.005,0,0.024,0.946,0.003,0.514,0.5,0.111,"19"
"795","18","171","7,043",0.128,3.2,3.6,0.06,0.174,0.273,8.2,0.257,0.41,0.162,0.182,"227.8",27.2,12,"",89.71,"8,352",0.225,0.187,0.002,0.002,0.005,0.001,0.014,0.97,0,0.503,0.771,0.1,"12"
"796","18","173","5,751",0.131,3.3,3.7,0.08,0.17,0.28,8.2,0.264,0.813,0.159,0.235,"148.9",25.7,131,"38",67.71,"61,149",0.246,0.161,0.015,0.003,0.02,0,0.017,0.932,0.004,0.506,0.293,0.095,"87"
"797","18","175","10,958",0.175,3.9,4,0.07,0.212,0.279,7.6,0.295,0.424,0.157,0.256,"182.7",40.8,36,"29",65.99,"27,878",0.236,0.154,0.004,0.002,0.003,0,0.014,0.969,0.001,0.501,0.768,0.104,"29"
"798","18","177","8,842",0.191,4.2,4.5,0.08,0.223,0.306,6.7,0.285,0.727,0.133,0.125,"399.4",46.1,56,"476",66.07,"67,671",0.225,0.179,0.049,0.004,0.008,0.001,0.027,0.887,0.006,0.515,0.33,0.115,"68"
"799","18","179","6,366",0.147,3.5,3.7,0.08,0.188,0.281,7.9,0.308,0.529,0.157,0.455,"256.8",28.2,54,"39",82.81,"27,862",0.241,0.17,0.005,0.003,0.005,0,0.025,0.953,0.003,0.507,0.506,0.102,"39"
"800","18","181","7,807",0.168,3.7,3.8,0.08,0.19,0.341,8.1,0.277,0.34,0.154,0.156,"233.4",46.4,45,"45",71.19,"24,453",0.234,0.188,0.005,0.006,0.004,0.001,0.077,0.902,0.014,0.503,0.68,0.11,"29"
"801","18","183","6,041",0.133,3.3,3.6,0.08,0.181,0.323,8.3,0.238,0.633,0.161,0.292,"245.9",30.7,57,"60",66.86,"33,403",0.234,0.16,0.004,0.004,0.004,0.001,0.02,0.957,0.001,0.501,0.712,0.097,"18"
